group_1,group_2,n_1,n_2,median_1,median_2,median_diff_1_minus_2,u_statistic,p_value,p_adj_holm,reject_0.05,sig
경북,전남,79,101,10.130901970700984,9.6067647354322,0.5241372352687836,4457.0,0.17825049259008074,1.0,False,n.s.
경북,인천,79,36,10.130901970700984,10.281883314102501,-0.1509813434015168,1436.0,0.9351073796787164,1.0,False,n.s.
경북,전북특별자치도,79,38,10.130901970700984,10.471695434556045,-0.3407934638550607,1321.0,0.29614168539929453,1.0,False,n.s.
경북,충북,79,48,10.130901970700984,9.383129695534837,0.7477722751661471,2239.0,0.08856764114677702,1.0,False,n.s.
광주,대구,26,24,9.100477678276986,9.70830750422784,-0.6078298259508532,255.0,0.2725805955381496,1.0,False,n.s.
경북,제주,79,20,10.130901970700984,10.568130553046787,-0.43722858234580286,636.0,0.18098111734864442,1.0,False,n.s.
경북,충남,79,70,10.130901970700984,9.848306928283193,0.28259504241779076,2832.0,0.8003193871717305,1.0,False,n.s.
광주,부산,26,35,9.100477678276986,9.771726021353874,-0.6712483430768881,361.0,0.17269477704309033,1.0,False,n.s.
광주,대전,26,18,9.100477678276986,9.629613969350121,-0.5291362910731348,169.0,0.12364642743183214,1.0,False,n.s.
광주,세종특별자치시,26,5,9.100477678276986,9.356170820187725,-0.2556931419107382,54.0,0.5837526705157405,1.0,False,n.s.
광주,서울,26,172,9.100477678276986,9.60580548123146,-0.5053278029544739,1923.0,0.25116044320332354,1.0,False,n.s.
광주,인천,26,36,9.100477678276986,10.281883314102501,-1.1814056358255147,351.0,0.09652177797914469,1.0,False,n.s.
경남,충북,82,48,10.102374139647317,9.383129695534837,0.7192444441124799,2397.0,0.03871402231493423,1.0,False,n.s.
경북,광주,79,26,10.130901970700984,9.100477678276986,1.030424292423998,1301.5,0.04193302317967116,1.0,False,n.s.
경북,대구,79,24,10.130901970700984,9.70830750422784,0.4225944664731447,1001.5,0.679269942998115,1.0,False,n.s.
광주,전북특별자치도,26,38,9.100477678276986,10.471695434556045,-1.3712177562790586,313.0,0.013611309283380314,1.0,False,n.s.
광주,전북,26,20,9.100477678276986,9.416350056279093,-0.31587237800210666,232.5,0.5496291441772703,1.0,False,n.s.
광주,전남,26,101,9.100477678276986,9.6067647354322,-0.5062870571552143,1082.5,0.169358724575136,1.0,False,n.s.
